2026-05-12T21:00:09.589023 | loop end - sleeping
2026-05-12T21:00:09.589023 | sleeping until next candle
2026-05-12T21:30:05.607563 | loop start
2026-05-12T21:33:07.454223 | loop start
2026-05-12T21:34:23.354133 | loop start
2026-05-12T21:35:47.556824 | loop start
2026-05-12T21:37:04.323278 | loop start
2026-05-12T21:38:27.128473 | loop start
2026-05-12T21:39:44.456472 | loop start
2026-05-12T21:41:20.659761 | loop start
2026-05-12T21:42:36.183608 | loop start
2026-05-12T21:43:52.946064 | loop start
2026-05-12T21:45:10.382557 | loop start
2026-05-12T21:46:34.248615 | loop start
2026-05-12T21:47:59.111138 | loop start
2026-05-12T21:49:24.983519 | loop start
2026-05-12T21:50:48.005356 | loop start
2026-05-12T21:51:05.730260 | TwelveData OK - 228 rows
2026-05-12T21:51:05.806330 | TwelveData fetch completed
2026-05-12T21:51:07.185318 | Binance fetch complete
2026-05-12T21:51:07.245167 | Data ready - 228 rows, last=2026-05-12 21:30:00+05:30
2026-05-12T21:51:07.248173 | data fetched price=80364.76
2026-05-12T21:51:07.249174 | no signal
2026-05-12T21:51:07.249174 | loop end - sleeping
2026-05-12T21:51:07.250170 | sleeping until next candle
2026-05-12T22:00:05.259868 | loop start
2026-05-12T22:00:27.152623 | TwelveData OK - 228 rows
2026-05-12T22:00:27.177258 | TwelveData fetch completed
2026-05-12T22:00:28.536814 | Binance fetch complete
2026-05-12T22:00:28.576393 | Data ready - 228 rows, last=2026-05-12 22:00:00+05:30
2026-05-12T22:00:28.577392 | data fetched price=80249.49
2026-05-12T22:00:28.578392 | no signal
2026-05-12T22:00:28.578392 | loop end - sleeping
2026-05-12T22:00:28.579393 | sleeping until next candle
2026-05-12T22:30:05.589168 | loop start
2026-05-12T22:31:25.695162 | loop start
2026-05-12T22:32:54.518154 | loop start
2026-05-12T22:34:34.667499 | loop start
2026-05-12T22:35:54.137143 | loop start
2026-05-12T22:37:20.047797 | loop start
2026-05-12T22:37:33.920583 | TwelveData OK - 228 rows
2026-05-12T22:37:34.021278 | TwelveData fetch completed
2026-05-12T22:37:35.415010 | Binance fetch complete
2026-05-12T22:37:35.536729 | Data ready - 228 rows, last=2026-05-12 22:30:00+05:30
2026-05-12T22:37:35.537729 | data fetched price=80097.27
2026-05-12T22:37:35.538729 | no signal
2026-05-12T22:37:35.538729 | loop end - sleeping
2026-05-12T22:37:35.539729 | sleeping until next candle
2026-05-12T23:00:06.196213 | loop start
2026-05-12T23:01:41.662826 | loop start
2026-05-12T23:03:02.218491 | loop start
2026-05-12T23:03:19.627831 | TwelveData OK - 228 rows
2026-05-12T23:03:19.664829 | TwelveData fetch completed
2026-05-12T23:03:21.032791 | Binance fetch complete
2026-05-12T23:03:21.078156 | Data ready - 228 rows, last=2026-05-12 23:00:00+05:30
2026-05-12T23:03:21.080155 | data fetched price=80440.20
2026-05-12T23:03:21.081529 | no signal
2026-05-12T23:03:21.081529 | loop end - sleeping
2026-05-12T23:03:21.082694 | sleeping until next candle
2026-05-12T23:30:05.093954 | loop start
2026-05-12T23:31:44.368901 | loop start
2026-05-12T23:33:08.245559 | loop start
2026-05-12T23:33:31.352767 | TwelveData OK - 228 rows
2026-05-12T23:33:31.421060 | TwelveData fetch completed
2026-05-12T23:33:32.906255 | Binance fetch complete
2026-05-12T23:33:32.949046 | Data ready - 228 rows, last=2026-05-12 23:30:00+05:30
2026-05-12T23:33:32.950551 | data fetched price=80446.64
