,datetime,open,high,low,close
988,2025-12-12 21:30:00,89922.82,90693.66,89500,90203.88
989,2025-12-13 01:30:00,90203.88,90423.04,89876.43,90278
990,2025-12-13 05:30:00,90278,90479.88,90080.09,90351.96
991,2025-12-13 09:30:00,90351.96,90437.26,90273.02,90341.73
992,2025-12-13 13:30:00,90342,90657,90295.89,90360.6
993,2025-12-13 17:30:00,90358.02,90504.1,89909.16,90108
994,2025-12-13 21:30:00,90108,90295.89,90000,90200.01
995,2025-12-14 01:30:00,90204.01,90307.97,89777.79,90255.32
996,2025-12-14 05:30:00,90255.32,90496.16,90138.57,90272.02
997,2025-12-14 09:30:00,90272.01,90351.39,90060.96,90256
998,2025-12-14 13:30:00,90253.78,90299.24,88700,89375.99
999,2025-12-14 17:30:00,89378.3,89682.94,88888,89035.96
1000,2025-12-14 21:30:00,89034.88,89412.36,88500.02,88655.85
1001,2025-12-15 01:30:00,88655.86,88861.01,87565.38,88171.61
1002,2025-12-15 05:30:00,88174.37,90064.74,88065.44,89295.7
1003,2025-12-15 09:30:00,89295.7,89930.03,89274.31,89748.26
1004,2025-12-15 13:30:00,89748.26,89990.24,89581.96,89656.06
1005,2025-12-15 17:30:00,89656.06,89874,86594.07,87027.98
1006,2025-12-15 21:30:00,87027.99,87220.84,85129.63,86130.02
1007,2025-12-16 01:30:00,86130.01,86454.42,85500,86417.5
1008,2025-12-16 05:30:00,86417.5,86504.34,85354,85856
1009,2025-12-16 09:30:00,85858,86600.57,85250,86002.2
1010,2025-12-16 13:30:00,86003.24,87326.95,85911.55,87242.88
1011,2025-12-16 17:30:00,87244,88148,86091.29,87956.43
1012,2025-12-16 21:30:00,87950.88,88047.17,87041.86,87565.12
1013,2025-12-17 01:30:00,87565.11,87923.25,87314.48,87854.01
1014,2025-12-17 05:30:00,87854,87939.67,87123,87189.02
1015,2025-12-17 09:30:00,87189.23,87401.91,86174.21,87017.83
1016,2025-12-17 13:30:00,87015.87,87114.49,86200.01,86961.86
