,datetime,open,high,low,close
90,2026-01-16 01:30:00,95470,95838,95066.19,95587.65
91,2026-01-16 05:30:00,95578.2,95830.49,95302.4,95319.18
92,2026-01-16 09:30:00,95319.17,95801.96,95117.1,95628.93
93,2026-01-16 13:30:00,95628.93,95821.67,95217.4,95388
94,2026-01-16 17:30:00,95388,95799.96,94229.04,94531.87
95,2026-01-16 21:30:00,94531.87,95187.8,94450.92,94947.55
96,2026-01-17 01:30:00,94947.55,95581.61,94627.8,95504
97,2026-01-17 05:30:00,95503.99,95542.25,95163.86,95326.18
98,2026-01-17 09:30:00,95326.18,95347.8,95007.5,95060.09
99,2026-01-17 13:30:00,95060.08,95287.13,94995,95279.82
100,2026-01-17 17:30:00,95279.56,95600,95158.84,95541.15
101,2026-01-17 21:30:00,95541.16,95546.22,95180.01,95260.17
102,2026-01-18 01:30:00,95260.17,95377.8,94980.12,95109.99
103,2026-01-18 05:30:00,95109.99,95197.7,94821.01,95154.01
104,2026-01-18 09:30:00,95154,95221.99,94985.1,94991.52
105,2026-01-18 13:30:00,94991.52,95249.93,94978.13,95123.98
106,2026-01-18 17:30:00,95123.98,95326.01,94858.81,95074.1
107,2026-01-18 21:30:00,95074.11,95482.9,95012.89,95336
108,2026-01-19 01:30:00,95336,95485,93559.78,93633.53
109,2026-01-19 05:30:00,93630,93630,91935.3,92656.01
110,2026-01-19 09:30:00,92656.02,92811.58,92300.49,92787.38
111,2026-01-19 13:30:00,92787.37,93327.89,92636.27,93133.08
112,2026-01-19 17:30:00,93133.08,93169.49,92640.01,93009.65
113,2026-01-19 21:30:00,93009.65,93359,92872.58,93048.01
114,2026-01-20 01:30:00,93048.01,93289.87,92079.93,92559.66
115,2026-01-20 05:30:00,92559.65,92807.99,92190.13,92360.27
116,2026-01-20 09:30:00,92360.27,92405.54,90676.73,91068
117,2026-01-20 13:30:00,91072.1,91360.77,90558.99,91134.95
118,2026-01-20 17:30:00,91134.9,91286.99,89750,90585.89
119,2026-01-20 21:30:00,90585.89,90888.6,89162,89594
120,2026-01-21 01:30:00,89595.96,89722,87767.53,88310.6
